emp_id,first_name,last_name,phone_no,email_id,dob,doj,house_no,locality,city,state,country,pincode,department,salary,username,password
E35951,Kikelia,Harraway,1877548995,kharraway0@shoppx24.com,11-01-1991,29-01-2020,290,Helena,San Antonio,Texas,USA,836649,Accounts,4393547,kharraway0,c0f98ab67a0bf315d84c5f626475eb26577090bd9801858c1ed01d8537e0cb11
E32767,Dionysus,Begent,8221804152,dbegent1@shoppx24.com,25-05-1969,24-09-2010,914,Lunder,Boca Raton,Florida,USA,903079,IT,2579216,dbegent1,5ed657559793695b89bccb0363a30f557d2f4e8e39f61b4f3c00ea9de47b03d9
E16029,Gayla,Rogan,8477311168,grogan2@shoppx24.com,14-08-1964,27-10-2002,730,Kim,Seattle,Washington,USA,793476,Marketing,2386872,grogan2,6053efd6bf3f701d55122c743092b4bff6704d3340c1eaf4a239e4e8222425a7
E64517,Abba,O' Flaherty,4038724163,aoflaherty3@shoppx24.com,23-01-1984,06-06-2021,384,Memorial,Tampa,Florida,USA,716820,Customer_service,1768351,aoflaherty3,27b07a02acea8d0ea12533755aaf1475e71848d5ee9e6c71733a192655c2881c
E10615,Alexandr,Stut,3555459788,astut4@shoppx24.com,10-03-1987,02-04-2015,744,Truax,Tampa,Florida,USA,254832,Warehouse,3443569,astut4,b66e1f9155f765a5906e3d6e96ddcb9ecbbba7a70b6c877f01139519d7dc0b05
E91089,Lionello,Baake,4475144192,lbaake5@shoppx24.com,11-08-1975,11-09-2008,579,Merrick,Wilmington,North Carolina,USA,759238,Management,3634989,lbaake5,b75bc3328eede56c4818863a9a1cf9729fd827020c6d179fed28321f8cd048d5
E68676,Berti,Jeandin,7961253239,bjeandin6@shoppx24.com,28-01-1972,28-07-2007,140,Carey,Aurora,Colorado,USA,422849,IT,2009403,bjeandin6,64cb4eb37982b3d0c7ff2fc253dc671a50ece827580df05353d69b61429012e8
E31515,Elly,Lease,6831069277,elease7@shoppx24.com,08-01-1973,17-01-2018,767,Toban,Columbus,Ohio,USA,560452,IT,1242319,elease7,b4a454e36d1438c0501f0f90d28fe523b76484ce7c71519d04c7774e557bce77
E52643,Alphonse,Maggiore,2574602363,amaggiore8@shoppx24.com,14-12-1967,22-05-2004,852,Melvin,Longview,Texas,USA,568041,Marketing,1909539,amaggiore8,2fe1edb183843115a31bc8e240469f5e064c1b6308cc3e53d9d71c5066a8398f
E39977,Babb,Bugg,1727739800,bbugg9@shoppx24.com,09-09-1983,24-04-2004,971,Warner,Kalamazoo,Michigan,USA,884958,Accounts,4429210,bbugg9,7b32a492afdbe4f1a1bd70deb0e69f46b4f226583bb689839ad3f9316f97b6e6
