Emp_id,First_name,Last_name,Mobile_no,Email,DOB,Date_of_joining,Department,Salary,Username,Password
35951,Kikelia,Harraway,1877548995,kharraway0@shoppx24.com,1991-01-11,2020-01-29,Accounts,4393547,kharraway0,c0f98ab67a0bf315d84c5f626475eb26577090bd9801858c1ed01d8537e0cb11
32767,Dionysus,Begent,8221804152,dbegent1@shoppx24.com,1969-05-25,2010-09-24,IT,2579216,dbegent1,5ed657559793695b89bccb0363a30f557d2f4e8e39f61b4f3c00ea9de47b03d9
16029,Gayla,Rogan,8477311168,grogan2@shoppx24.com,1964-08-14,2002-10-27,Marketing,2386872,grogan2,6053efd6bf3f701d55122c743092b4bff6704d3340c1eaf4a239e4e8222425a7
64517,Abba,O' Flaherty,4038724163,aoflaherty3@shoppx24.com,1984-01-23,2021-06-06,Customer_service,1768351,aoflaherty3,27b07a02acea8d0ea12533755aaf1475e71848d5ee9e6c71733a192655c2881c
10615,Alexandr,Stut,3555459788,astut4@shoppx24.com,1987-03-10,2015-04-02,Warehouse,3443569,astut4,b66e1f9155f765a5906e3d6e96ddcb9ecbbba7a70b6c877f01139519d7dc0b05
91089,Lionello,Baake,4475144192,lbaake5@shoppx24.com,1975-08-11,2008-09-11,Management,3634989,lbaake5,b75bc3328eede56c4818863a9a1cf9729fd827020c6d179fed28321f8cd048d5
68676,Berti,Jeandin,7961253239,bjeandin6@shoppx24.com,1972-01-28,2007-07-28,IT,2009403,bjeandin6,64cb4eb37982b3d0c7ff2fc253dc671a50ece827580df05353d69b61429012e8
31515,Elly,Lease,6831069277,elease7@shoppx24.com,1973-01-08,2018-01-17,IT,1242319,elease7,b4a454e36d1438c0501f0f90d28fe523b76484ce7c71519d04c7774e557bce77
52643,Alphonse,Maggiore,2574602363,amaggiore8@shoppx24.com,1967-12-14,2004-05-22,Marketing,1909539,amaggiore8,2fe1edb183843115a31bc8e240469f5e064c1b6308cc3e53d9d71c5066a8398f
39977,Babb,Bugg,1727739800,bbugg9@shoppx24.com,1983-09-09,2004-04-24,Accounts,4429210,bbugg9,7b32a492afdbe4f1a1bd70deb0e69f46b4f226583bb689839ad3f9316f97b6e6
43664,Willi,Ousley,7083784084,wousleya@shoppx24.com,1988-01-30,2009-06-09,Warehouse,1780393,wousleya,be264e6394568d82b3c5a248000b95d6750a8790a0a95f2236565d45b6bdb6ab
64715,Chery,Grzelak,4029950037,cgrzelakb@shoppx24.com,1984-05-26,2011-05-16,Management,4685334,cgrzelakb,e2716fbf31611382de5b14bf30127b0755b5e79e948d193c0e4c8c348846bbc5
59571,Conni,Brend,3914417424,cbrendc@shoppx24.com,1965-05-27,2007-06-26,IT,3966393,cbrendc,a38c9c34d32c74a053aa07ba3dc19a7cabc0c2a1e70a4340c14fb5ddcdac6df2
98441,Noland,Bullcock,6154625166,nbullcockd@shoppx24.com,1978-12-05,2019-04-04,Accounts,2903810,nbullcockd,c1ca8becf04cd7ac4b6052bbc3d99f983c0a0e36d57ef8295a7f4ef66e63792a
12650,Lilly,Jobbings,8772412474,ljobbingse@shoppx24.com,1973-11-07,2011-04-10,Management,1756648,ljobbingse,38462944ff3745cfac3c1928419850fcc1eb9cee57e3ba577e14612d90221d4a
79002,Aindrea,O'Duane,8656483893,aoduanef@shoppx24.com,1970-02-08,1996-11-22,Customer_service,4502473,aoduanef,118ea9b160cea2cd1c2e6cbd7f26cfbfac0e788eee88c11c37dc0d6687ea0bfc
70093,Lynelle,McTavy,7964676759,lmctavyg@shoppx24.com,1968-02-28,2003-09-19,Management,3843821,lmctavyg,d42f8692d6aea1a73c1c30b9d44b16375c51f8fadb1f093eeeb9d814a7d9e2ee
91869,Kyrstin,Crockley,8963581130,kcrockleyh@shoppx24.com,1990-10-05,1995-12-26,Customer_service,4097391,kcrockleyh,829b2d7044a4765beaa54c27bec4519ae498f101eca5f5a6cff8657962fba53e
21783,Jeannette,Garbett,1821951566,jgarbetti@shoppx24.com,1961-07-09,2009-04-15,IT,3749792,jgarbetti,8d77b7ad72889a6da981d07f3fe3cb66b06ef7c8f8ea5d3ce5a101a81bfe532d
91024,Matilde,De Witt,9835295796,mdewittj@shoppx24.com,1962-03-15,1991-12-11,Management,2245261,mdewittj,60cca9b00fca4254ee36de698ee4500c5c5eb5091d7f1449f8707de6698d4b3d
