emp_id,first_name,last_name,phone_no,email_id,doj,house_no,locality,city,state,country,pin_code,dob,department,salary,gender,username,pass_word
35951,Kikelia,Harraway,1877548995,kharraway0@shoppx24.com,29-01-2020,290,Helena,San Antonio,Texas,USA,836649,11-01-1991,Accounts,4393547,m,kharraway0,c0f98ab67a0bf315d84c5f626475eb26577090bd9801858c1ed01d8537e0cb11
32767,Dionysus,Begent,8221804152,dbegent1@shoppx24.com,24-09-2010,914,Lunder,Boca Raton,Florida,USA,903079,25-05-1969,IT,2579216,m,dbegent1,5ed657559793695b89bccb0363a30f557d2f4e8e39f61b4f3c00ea9de47b03d9
16029,Gayla,Rogan,8477311168,grogan2@shoppx24.com,27-10-2002,730,Kim,Seattle,Washington,USA,793476,14-08-1964,Marketing,2386872,m,grogan2,6053efd6bf3f701d55122c743092b4bff6704d3340c1eaf4a239e4e8222425a7
64517,Abba,O' Flaherty,4038724163,aoflaherty3@shoppx24.com,06-06-2021,384,Memorial,Tampa,Florida,USA,716820,23-01-1984,Customer_service,1768351,f,aoflaherty3,27b07a02acea8d0ea12533755aaf1475e71848d5ee9e6c71733a192655c2881c
10615,Alexandr,Stut,3555459788,astut4@shoppx24.com,02-04-2015,744,Truax,Tampa,Florida,USA,254832,10-03-1987,Warehouse,3443569,m,astut4,b66e1f9155f765a5906e3d6e96ddcb9ecbbba7a70b6c877f01139519d7dc0b05
91089,Lionello,Baake,4475144192,lbaake5@shoppx24.com,11-09-2008,579,Merrick,Wilmington,North Carolina,USA,759238,11-08-1975,Management,3634989,m,lbaake5,b75bc3328eede56c4818863a9a1cf9729fd827020c6d179fed28321f8cd048d5
68676,Berti,Jeandin,7961253239,bjeandin6@shoppx24.com,28-07-2007,140,Carey,Aurora,Colorado,USA,422849,28-01-1972,IT,2009403,m,bjeandin6,64cb4eb37982b3d0c7ff2fc253dc671a50ece827580df05353d69b61429012e8
31515,Elly,Lease,6831069277,elease7@shoppx24.com,17-01-2018,767,Toban,Columbus,Ohio,USA,560452,08-01-1973,IT,1242319,f,elease7,b4a454e36d1438c0501f0f90d28fe523b76484ce7c71519d04c7774e557bce77
52643,Alphonse,Maggiore,2574602363,amaggiore8@shoppx24.com,22-05-2004,852,Melvin,Longview,Texas,USA,568041,14-12-1967,Marketing,1909539,m,amaggiore8,2fe1edb183843115a31bc8e240469f5e064c1b6308cc3e53d9d71c5066a8398f
39977,Babb,Bugg,1727739800,bbugg9@shoppx24.com,24-04-2004,971,Warner,Kalamazoo,Michigan,USA,884958,09-09-1983,Accounts,4429210,m,bbugg9,7b32a492afdbe4f1a1bd70deb0e69f46b4f226583bb689839ad3f9316f97b6e6
43664,Willi,Ousley,7083784084,wousleya@shoppx24.com,09-06-2009,56,Jenifer,Amarillo,Texas,USA,501732,30-01-1988,Warehouse,1780393,f,wousleya,be264e6394568d82b3c5a248000b95d6750a8790a0a95f2236565d45b6bdb6ab
64715,Chery,Grzelak,4029950037,cgrzelakb@shoppx24.com,16-05-2011,856,Pine View,Cincinnati,Ohio,USA,924505,26-05-1984,Management,4685334,m,cgrzelakb,e2716fbf31611382de5b14bf30127b0755b5e79e948d193c0e4c8c348846bbc5
59571,Conni,Brend,3914417424,cbrendc@shoppx24.com,26-06-2007,138,Waxwing,Topeka,Kansas,USA,513696,27-05-1965,IT,3966393,m,cbrendc,a38c9c34d32c74a053aa07ba3dc19a7cabc0c2a1e70a4340c14fb5ddcdac6df2
98441,Noland,Bullcock,6154625166,nbullcockd@shoppx24.com,04-04-2019,328,Mayer,Evansville,Indiana,USA,573477,05-12-1978,Accounts,2903810,m,nbullcockd,c1ca8becf04cd7ac4b6052bbc3d99f983c0a0e36d57ef8295a7f4ef66e63792a
12650,Lilly,Jobbings,8772412474,ljobbingse@shoppx24.com,10-04-2011,143,Annamark,Washington,District of Columbia,USA,854775,07-11-1973,Management,1756648,f,ljobbingse,38462944ff3745cfac3c1928419850fcc1eb9cee57e3ba577e14612d90221d4a
79002,Aindrea,O'Duane,8656483893,aoduanef@shoppx24.com,22-11-1996,101,Mandrake,Denver,Colorado,USA,993314,08-02-1970,Customer_service,4502473,m,aoduanef,118ea9b160cea2cd1c2e6cbd7f26cfbfac0e788eee88c11c37dc0d6687ea0bfc
70093,Lynelle,McTavy,7964676759,lmctavyg@shoppx24.com,19-09-2003,714,Delladonna,Minneapolis,Minnesota,USA,645895,28-02-1968,Management,3843821,m,lmctavyg,d42f8692d6aea1a73c1c30b9d44b16375c51f8fadb1f093eeeb9d814a7d9e2ee
91869,Kyrstin,Crockley,8963581130,kcrockleyh@shoppx24.com,26-12-1995,180,Crownhardt,Berkeley,California,USA,537977,05-10-1990,Customer_service,4097391,f,kcrockleyh,829b2d7044a4765beaa54c27bec4519ae498f101eca5f5a6cff8657962fba53e
21783,Jeannette,Garbett,1821951566,jgarbetti@shoppx24.com,15-04-2009,681,Caliangt,Houston,Texas,USA,985722,09-07-1961,IT,3749792,m,jgarbetti,8d77b7ad72889a6da981d07f3fe3cb66b06ef7c8f8ea5d3ce5a101a81bfe532d
91024,Matilde,De Witt,9835295796,mdewittj@shoppx24.com,11-12-1991,26,Arapahoe,Jefferson City,Missouri,USA,262621,15-03-1962,Management,2245261,m,mdewittj,60cca9b00fca4254ee36de698ee4500c5c5eb5091d7f1449f8707de6698d4b3d
21499,Ashbey,Curnow,8531318978,acurnowk@shoppx24.com,07-07-2000,566,Reinke,Bronx,New York,USA,734957,26-12-1961,IT,2377464,m,acurnowk,707c8b8c0daca3d652be4f438eb728f422ca701ea2d9cc8d40491b6d96ce1c84
84473,Rosalind,Ditchett,7379741034,rditchettl@shoppx24.com,03-12-2008,259,Park Meadow,Rochester,New York,USA,923208,23-09-1974,Management,781305,m,rditchettl,85b7cdd40c886f84afadd0bdae414260244899e2b9fc107bb008dec08763bb5c
29203,Nerita,Mountfort,1582963534,nmountfortm@shoppx24.com,20-10-2009,849,Kim,Saint Louis,Missouri,USA,836608,09-12-1970,Customer_service,3566119,f,nmountfortm,18a9671944b1f38218df3223c21d4d2e39c1dac16b7d20da69c28b55dd45f7c9
